Site	N	S	NmaxObs	NmaxPred_geom	evennessObs	evennessPred_geom	skewnessObs	skewnessPred_geom	ll_geom	r2_geom	site_name	NmaxPred_mete	evennessPred_mete	skewnessPred_mete	p_mete	ll_mete	r2_mete	NmaxPred_lognorm	evennessPred_lognorm	skewnessPred_lognorm	mu_lognorm	sigma_lognorm	ll_lognorm	r2_lognorm	NmaxPred_zipf	evennessPred_zipf	skewnessPred_zipf	gamma_zif	ll_zipf	r2_zipf
48	986	58	287	79.0	0.1037	0.5284	0.7435885474259999	0.42759167361	-220.58602300099997	0.22479097701499998	'700110125.may1'	162	0.2546	0.6183365119049999	0.9865264669059999	-175.264890779	0.8131740174	350	0.0921	0.8361571065189999	-1.4193781009600002	2.6764827614400004	-169.362326803	0.9844379329999999	3344	0.0292	0.913394250024	1.5498545255399998	-171.244165921	0.9019946540360001
49	3995	75	1006	265.0	0.096	0.5153	0.7379608871369999	0.433946116786	-372.43985348	-0.22762335371300002	'700097664.may1'	666	0.1945	0.664609937473	0.996730441071	-267.104313828	0.7254577821349999	9358	0.0243	0.9599134272050001	-11.9700116799	5.98505819249	-255.881868208	0.961318710615	26789	0.0184	0.971353425185	1.46686105603	-256.618968423	0.934348336817
51	6104	22	5983	1049.0	0.0473	0.5291	0.7294737275059999	0.38458139082099996	-145.724762775	-3.3812576760699997	'700023800.may1'	2463	0.18	0.600859829198	0.999566639601	-74.18768036350001	-0.77227488262	492	0.0754	0.7185031066590001	-37.5409515558	8.96188020205	-60.50017188020001	0.907990190033	353	0.0839	0.715369391764	1.59196655246	-60.694896929399995	0.88931126294
53	26	11	6	6.0	0.7146	0.6846	0.335341053781	0.33693444083000007	-17.7129022033	0.877914882185	'700109614.may1'	7	0.595	0.429992791253	0.783860243857	-18.4759169311	0.708016407878	5	0.7576	0.246940687088	0.520139074498	0.466968476534	-17.5312990066	0.9915532849099999	19	0.3126	0.542401911913	1.89245769559	-20.3177983507	0.334658707322
54	2602	33	2410	329.0	0.0353	0.5246	0.810586609049	0.4046055529	-176.918274803	-2.71194618676	'700033839.may1'	756	0.1979	0.619475586212	0.9979682080769999	-95.8599970625	-0.659975526468	283	0.0686	0.790088379883	-32.540932299	7.678401833530001	-74.5614323332	0.926664623696	197	0.0843	0.7820505570399999	1.7223131843000001	-75.36876525550001	0.893864044407
55	539	63	202	39.0	0.1008	0.5432	0.8985368288950001	0.42432360746200004	-194.40030634299998	0.625190013906	'700015006.may1'	72	0.3086	0.596957842738	0.966819904745	-171.112068674	0.911577105141	89	0.2261	0.7387046012809999	0.162958253059	1.6737247690000001	-166.681134576	0.961603708641	2026	0.0307	0.9256104855589999	1.5940823856400002	-173.229986003	0.7144494884039999
56	932	22	589	159.0	0.1078	0.5345	0.706337621802	0.383413290782	-104.15666375299999	0.23581595535100003	'700110850.may1'	316	0.2352	0.570064969533	0.995782084763	-85.0561222719	0.9100303087899999	404	0.1415	0.672818911789	0.594653095931	2.49016963241	-84.1550857056	0.97298286084	7420	0.0551	0.727123948924	1.4002695841	-86.187579233	0.780796896609
58	6080	17	6048	1260.0	0.0594	0.5352	0.676692255223	0.368888993041	-116.928503409	-4.35509437619	'700037012.may1'	2822	0.1885	0.571978369561	0.999716159254	-52.158865256800006	-1.5696931851700002	89	0.1307	0.656709337126	-32.8746392848	7.61008941052	-36.825583275300005	0.730325934206	66	0.1622	0.647632045103	1.7484474364099998	-37.5023534909	0.682451222568
62	2115	53	804	184.0	0.0644	0.5201	0.7442458985770001	0.422205802287	-247.715779705	-0.7307777213689999	'700034830.may1'	424	0.2124	0.63697234365	0.995357586524	-170.069027489	0.39032720666299997	527	0.0727	0.844464395304	-2.63220392535	3.1771945499400003	-156.774993879	0.92774346051	2991	0.0317	0.8955639058179999	1.5464515135699999	-157.376939939	0.924935512826
63	3347	104	941	170.0	0.0825	0.516	0.8688602631319999	0.44289305798399997	-463.395819689	-0.00791199237893	'700033599.may1'	414	0.2109	0.667120325102	0.9939540913179999	-349.395468382	0.787261736834	3012	0.0316	0.993179010015	-3.9871315068800004	3.86483488771	-337.525450222	0.9835100874299999	29649	0.0141	1.03584675338	1.4927573464200001	-339.086486197	0.92302373429
